cidade,bairro,count,lat,lng
Maceio,Benedito Bentes,831,-9.5561682,-35.7237673
Maceio,Cidade Universitária,732,-9.5474019,-35.7653816
Maceio,Jacintinho,720,-9.6395847,-35.7177349
Maceio,Tabuleiro do Martins,473,-9.5943923,-35.7509295
Maceio,Clima Bom,450,-9.5744116,-35.7852824
Maceio,Vergel do Lago,343,-9.6549289,-35.7578074
Maceio,Feitosa,194,-9.6284871,-35.721956
Maceio,Levada,192,-9.6592319,-35.7454189
Maceio,Santos Dumont,178,-9.5567283,-35.7884923
Maceio,Trapiche da Barra,170,-9.6716977,-35.7592837
Maceio,Santa Lúcia,158,-9.5813609,-35.7535285
Maceio,Chã da Jaqueira,156,-9.6160875,-35.7484338
Maceio,Ponta Grossa,134,-9.6616365,-35.7544695
Maceio,Poço,119,-9.6629654,-35.723402
Maceio,Antares,98,-9.5794626,-35.7362542
Maceio,Ipioca,97,-9.5102735,-35.5947164
Maceio,Centro,96,-9.6664457,-35.7371385
Maceio,Petrópolis,89,-9.605307,-35.7574033
Maceio,Farol,89,-9.6499931,-35.7347635
Maceio,Bebedouro,84,-9.6251394,-35.7525875
Maceio,Prado,78,-9.6694197,-35.7490135
Maceio,Chã de Bebedouro,77,-9.6195126,-35.7572043
Maceio,Jatiúca,76,-9.6503095,-35.7060709
Maceio,Riacho Doce,75,-9.5584921,-35.6469817
Maceio,Barro Duro,67,-9.6189777,-35.7192917
Maceio,São Jorge,66,-9.6178778,-35.7058252
Maceio,Bom Parto,61,-9.6518915,-35.743108
Maceio,Serraria,61,-9.6024662,-35.721639
Maceio,Rio Novo,59,-9.5797789,-35.8032391
Maceio,Santa Amélia,58,-9.5885348,-35.7752337
Maceio,Pajuçara,53,-9.667561,-35.7181859
Maceio,Fernão Velho,51,-9.5902515,-35.7848113
Maceio,Ouro Preto,51,-9.604452,-35.7306858
Maceio,Cruz das Almas,49,-9.6335312,-35.6996166
Maceio,Jacarecica,49,-9.6178488,-35.6931586
Maceio,Pontal da Barra,48,-9.6937793,-35.7750969
Maceio,Pinheiro,45,-9.6321474,-35.7419526
Maceio,Guaxuma,42,-9.5944229,-35.6764744
Maceio,Gruta de Lourdes,41,-9.6208518,-35.7342209
Maceio,Jaraguá,40,-9.6702423,-35.7238513
Maceio,Pitanguinha,38,-9.6372814,-35.7325694
Maceio,Canaã,37,-9.6047767,-35.7389067
Maceio,Ponta da Terra,27,-9.6639778,-35.7151858
Maceio,Mutange,26,-9.6386023,-35.7472803
Maceio,Jardim Petrópolis,23,-9.5980076,-35.7425776
Maceio,Mangabeiras,19,-9.6470188,-35.7147364
Maceio,Pescaria,19,-9.5472179,-35.6247223
Maceio,Ponta Verde,17,-9.6604975,-35.7034391
Maceio,Garça Torta,16,-9.5834105,-35.6638105
Maceio,Santo Amaro,13,-9.608248,-35.742415
Maceio,Zona Rural,4,,
Arapiraca,Primavera,108,-9.7643923,-36.6597569
Arapiraca,Olho d Água dos Cazuzinhos,102,,
Arapiraca,Manoel Teles,90,-9.7552779,-36.6685438
Arapiraca,Canafístula,87,-9.7617449,-36.6313661
Arapiraca,Planalto,78,-9.723661,-36.6645742
Arapiraca,Brasília,54,-9.7533429,-36.6472793
Arapiraca,Bom Sucesso,53,-9.7136457,-36.6912037
Arapiraca,Centro,51,-9.7521269,-36.6616988
Arapiraca,Zona Rural Leste,50,,
Arapiraca,Cacimbas,45,-9.7609136,-36.6643167
Arapiraca,Zona Rural Oeste,37,,
Arapiraca,Zélia Barbosa Rocha,34,-9.7486107,-36.6843569
Arapiraca,Alto do Cruzeiro,32,-9.7478551,-36.6546822
Arapiraca,Senador Nilo Coelho,28,-9.7303027,-36.6955922
Arapiraca,Baixão,27,-9.7493143,-36.6697455
Arapiraca,Vila Bananeira,23,,
Arapiraca,Boa Vista,21,-9.7787041,-36.6354595
Arapiraca,Ouro Preto,21,-9.7598193,-36.6543871
Arapiraca,Jardim Esperança,21,-9.7251161,-36.6835889
Arapiraca,Caititus,20,-9.7387931,-36.6566777
Arapiraca,Sítio Cangandu,19,,
Arapiraca,Itapoã,19,-9.7478445,-36.6389966
Arapiraca,Verdes Campos,18,-9.7796543,-36.6483947
Arapiraca,Cavaco,17,-9.7391949,-36.6752172
Arapiraca,Massaranduba,17,-9.7087505,-36.6630971
Arapiraca,Senador Arnon de Melo,16,-9.7340811,-36.6389097
Arapiraca,Jardim Tropical,16,,
Arapiraca,Brasiliana,15,-9.7333262,-36.6648209
Arapiraca,Nova Esperança,15,-9.6428691,-36.6826596
Arapiraca,Povoado Canaã,14,,
Arapiraca,Batingas,14,,
Arapiraca,João Paulo II,14,-9.7718596,-36.6663908
Arapiraca,Povoado Capim,13,,
Arapiraca,Sítio Pau d Arco,13,,
Arapiraca,Baixa Grande,13,-9.7336276,-36.6727817
Arapiraca,Senador Teotônio Vilela,12,-9.7439427,-36.6587055
Arapiraca,Vila São José,12,,
Arapiraca,Povoado Fazenda Velha,12,,
Arapiraca,Mangabeiras,11,-9.7231176,-36.6457827
Arapiraca,Guaribas,10,-9.7850164,-36.6587819
Arapiraca,Santa Edwiges,10,-9.7358746,-36.6597784
Arapiraca,Sítio Barreiras,10,,
Arapiraca,Capiatã,9,-9.7419336,-36.662482
Arapiraca,Eldorado,9,-9.7424306,-36.6676962
Arapiraca,Sítio Alazão,9,,
Arapiraca,Sítio Mulungu,8,,
Arapiraca,Sítio Laranjal,8,,
Arapiraca,Padre Antônio Lima Neto,8,-9.7626054,-36.6686136
Arapiraca,Sítio Bom Jardim,8,,
Arapiraca,Sítio Breu,7,,
Arapiraca,Povoado Baixa da Onça,7,,
Arapiraca,São Luiz II,7,-9.7692455,-36.6549182
Arapiraca,Sítio Bálsamo,7,,
Arapiraca,Sítio Fernandes,6,,
Arapiraca,São Luiz,6,-9.7649315,-36.6479016
Arapiraca,Sítio Bom Nome,6,,
Arapiraca,Sítio Flexeiras,6,,
Arapiraca,Sítio Poção,5,,
Arapiraca,Sítio Ponto Novo,4,,
Arapiraca,Sítio Carrasco,4,,
Arapiraca,Povoado Pau Ferro,4,,
Arapiraca,Santa Esmeralda,4,-9.7398505,-36.6507554
Arapiraca,Sítio Xexéu,4,,
Arapiraca,Sítio Mundo Novo,3,,
Arapiraca,Sítio Lagoa do Rancho,3,,
Arapiraca,Sítio Piauí,3,,
Arapiraca,Sítio Corredor,3,,
Arapiraca,Povoado Lagoa Cavada,3,,
Arapiraca,Sítio Furnas,3,,
Arapiraca,Vila São Francisco,3,,
Arapiraca,Bairro não Informado,2,,
Arapiraca,Novo Horizonte,2,-9.7439639,-36.645273
Arapiraca,Sítio Sapucaia,2,,
Arapiraca,Sítio Gruta d Água,2,,
Arapiraca,Vila Aparecida,2,,
Arapiraca,Sítio Taquara,2,,
Arapiraca,Sítio Cajarana,2,-9.8227578,-36.6086886
Arapiraca,Sítio Itapicuru,2,,
Arapiraca,Povoado Mocó,1,,
Arapiraca,Sítio Batingas,1,,
Arapiraca,Sítio Sementeira,1,,
Arapiraca,Sítio Oitizeiro,1,,
Arapiraca,Sítio Tingui,1,,
Arapiraca,Sítio Braúnas,1,,
Arapiraca,Sítio Baixa do Capim,1,,
Arapiraca,Sítio Poço da Pedra,1,,
Arapiraca,Jardim de Maria,1,-9.7777687,-36.6472397
Rio Largo,Mata do Rolo,340,-9.474311,-35.822876
Rio Largo,Tabuleiro do Pinto,222,-9.5037697,-35.8135258
Rio Largo,Centro,188,-9.4664597,-35.8304353
Rio Largo,Zona Rural,81,,
Rio Largo,Utinga Leão,13,-9.5506828,-35.8693029
Rio Largo,Bairro não Informado,1,,
Uniao dos Palmares,Centro,123,,
Uniao dos Palmares,Zona Rural,108,,
Uniao dos Palmares,Roberto Correia de Araújo,65,,
Uniao dos Palmares,Santa Fé,31,,
Uniao dos Palmares,Nova Esperança,27,,
Uniao dos Palmares,Abolição,20,,
Uniao dos Palmares,Sagrada Família,16,,
Uniao dos Palmares,Várzea Grande,12,,
Uniao dos Palmares,Padre Donald,9,-9.1595368,-36.0262463
Uniao dos Palmares,Santa Maria Madalena,8,-9.1586442,-36.0310077
Uniao dos Palmares,Alto do Cruzeiro,7,-9.1614292,-36.0275299
Uniao dos Palmares,Vaquejada,7,,
Uniao dos Palmares,Rocha Cavalcante,7,-9.088872,-36.0683357
Uniao dos Palmares,Costa e Silva,4,,
Uniao dos Palmares,Taquari,4,,
Uniao dos Palmares,Timbó,3,-9.1819056,-36.0468352
Uniao dos Palmares,Cohab (Velha),2,,
Uniao dos Palmares,Bairro de Fátima,2,-9.1553324,-36.0298904
Uniao dos Palmares,Bairro não Informado,1,,
Uniao dos Palmares,Usina Laginha,1,-9.1839564,-36.0450276
Marechal Deodoro,Zona Rural,317,,
Marechal Deodoro,Centro,51,-9.715875,-35.8945826
Marechal Deodoro,Barra Nova,28,-9.7132349,-35.8171263
Marechal Deodoro,Massagueira,22,-9.7328438,-35.8392631
Marechal Deodoro,Francês,22,-9.7672135,-35.8510199
