cidade_norm,ano,count
Anadia,2012,10
Anadia,2013,10
Anadia,2014,14
Anadia,2015,6
Anadia,2016,6
Anadia,2017,9
Anadia,2018,7
Anadia,2019,3
Anadia,2020,4
Anadia,2021,6
Anadia,2022,2
Anadia,2023,3
Anadia,2024,7
Anadia,2025,6
Anadia,2026,3
Arapiraca,2012,139
Arapiraca,2013,148
Arapiraca,2014,146
Arapiraca,2015,120
Arapiraca,2016,139
Arapiraca,2017,109
Arapiraca,2018,97
Arapiraca,2019,84
Arapiraca,2020,80
Arapiraca,2021,88
Arapiraca,2022,70
Arapiraca,2023,92
Arapiraca,2024,79
Arapiraca,2025,63
Arapiraca,2026,20
Atalaia,2012,34
Atalaia,2013,37
Atalaia,2014,33
Atalaia,2015,24
Atalaia,2016,24
Atalaia,2017,29
Atalaia,2018,19
Atalaia,2019,24
Atalaia,2020,23
Atalaia,2021,10
Atalaia,2022,8
Atalaia,2023,11
Atalaia,2024,11
Atalaia,2025,21
Atalaia,2026,1
Barra de Santo Antônio,2012,11
Barra de Santo Antônio,2013,11
Barra de Santo Antônio,2014,7
Barra de Santo Antônio,2015,12
Barra de Santo Antônio,2016,13
Barra de Santo Antônio,2017,14
Barra de Santo Antônio,2018,6
Barra de Santo Antônio,2019,4
Barra de Santo Antônio,2020,14
Barra de Santo Antônio,2021,9
Barra de Santo Antônio,2022,12
Barra de Santo Antônio,2023,11
Barra de Santo Antônio,2024,12
Barra de Santo Antônio,2025,2
Barra de São Miguel,2012,5
Barra de São Miguel,2013,8
Barra de São Miguel,2014,7
Barra de São Miguel,2015,4
Barra de São Miguel,2016,14
Barra de São Miguel,2017,8
Barra de São Miguel,2018,12
Barra de São Miguel,2019,5
Barra de São Miguel,2020,7
Barra de São Miguel,2021,5
Barra de São Miguel,2022,8
Barra de São Miguel,2023,6
Barra de São Miguel,2024,7
Barra de São Miguel,2025,5
Barra de São Miguel,2026,4
Batalha,2012,3
Batalha,2013,7
Batalha,2014,8
Batalha,2015,4
Batalha,2016,9
Batalha,2017,7
Batalha,2018,4
Batalha,2019,6
Batalha,2020,9
Batalha,2021,5
Batalha,2023,6
Batalha,2024,10
Batalha,2025,3
Belo Monte,2013,3
Belo Monte,2014,1
Belo Monte,2020,1
Belo Monte,2022,1
Belo Monte,2024,1
Belém,2012,1
Belém,2013,2
Belém,2014,1
Belém,2016,1
Belém,2017,4
Belém,2018,2
Belém,2020,1
Belém,2021,3
Belém,2022,1
Belém,2023,2
Belém,2024,3
Belém,2025,2
Boca da Mata,2012,13
Boca da Mata,2013,18
Boca da Mata,2014,12
Boca da Mata,2015,16
Boca da Mata,2016,21
Boca da Mata,2017,9
Boca da Mata,2018,11
Boca da Mata,2019,16
Boca da Mata,2020,17
Boca da Mata,2021,6
Boca da Mata,2022,9
Boca da Mata,2023,7
Boca da Mata,2024,8
Boca da Mata,2025,5
Boca da Mata,2026,4
Branquinha,2012,9
Branquinha,2013,6
Branquinha,2014,8
Branquinha,2015,7
Branquinha,2016,5
Branquinha,2017,6
Branquinha,2018,5
Branquinha,2019,5
Branquinha,2020,4
Branquinha,2022,5
Branquinha,2023,1
Branquinha,2024,3
Branquinha,2025,4
Branquinha,2026,1
Cacimbinhas,2012,1
Cacimbinhas,2013,6
Cacimbinhas,2014,3
Cacimbinhas,2015,3
Cacimbinhas,2016,4
Cacimbinhas,2017,3
Cacimbinhas,2019,2
Cacimbinhas,2020,2
Cacimbinhas,2021,2
Cacimbinhas,2022,7
Cacimbinhas,2023,5
Cacimbinhas,2024,2
Cajueiro,2012,16
Cajueiro,2013,20
Cajueiro,2014,17
Cajueiro,2015,14
Cajueiro,2016,10
Cajueiro,2017,14
Cajueiro,2018,5
Cajueiro,2019,9
Cajueiro,2020,10
Cajueiro,2021,5
Cajueiro,2022,5
Cajueiro,2023,3
Cajueiro,2024,3
Cajueiro,2025,8
Cajueiro,2026,1
Campestre,2012,2
Campestre,2013,3
Campestre,2014,1
Campestre,2015,1
Campestre,2016,2
Campestre,2017,5
Campestre,2018,2
Campestre,2019,1
Campestre,2020,1
Campestre,2021,4
Campestre,2022,1
Campestre,2023,2
Campestre,2024,2
Campo Alegre,2012,15
Campo Alegre,2013,24
Campo Alegre,2014,21
Campo Alegre,2015,20
Campo Alegre,2016,17
Campo Alegre,2017,11
Campo Alegre,2018,10
Campo Alegre,2019,17
Campo Alegre,2020,14
Campo Alegre,2021,15
Campo Alegre,2022,11
Campo Alegre,2023,14
Campo Alegre,2024,13
Campo Alegre,2025,10
Campo Alegre,2026,4
Campo Grande,2012,3
Campo Grande,2013,3
Campo Grande,2014,4
Campo Grande,2015,4
Campo Grande,2016,9
Campo Grande,2017,10
Campo Grande,2018,3
Campo Grande,2019,2
Campo Grande,2020,1
Campo Grande,2021,3
Campo Grande,2022,3
Campo Grande,2023,4
Campo Grande,2024,1
Campo Grande,2025,2
Campo Grande,2026,2
Canapi,2012,7
Canapi,2013,2
Canapi,2014,10
Canapi,2015,6
Canapi,2016,5
Canapi,2017,3
Canapi,2018,4
Canapi,2019,8
Canapi,2020,14
Canapi,2021,5
Canapi,2022,9
Canapi,2023,7
Canapi,2024,4
Canapi,2025,7
Canapi,2026,4
Capela,2012,11
Capela,2013,18
Capela,2014,12
Capela,2015,7
Capela,2016,5
Capela,2017,10
Capela,2018,4
Capela,2019,8
Capela,2020,8
Capela,2021,3
Capela,2022,1
Capela,2023,1
Capela,2024,2
Capela,2025,1
Capela,2026,1
Carneiros,2012,1
Carneiros,2013,3
Carneiros,2014,1
Carneiros,2016,3
Carneiros,2018,2
