cidade_match,BAIRRO DO FATO,ano,mes,count
Arapiraca,Alto do Cruzeiro,2012,11,1
Arapiraca,Alto do Cruzeiro,2013,12,2
Arapiraca,Alto do Cruzeiro,2014,1,1
Arapiraca,Alto do Cruzeiro,2014,4,1
Arapiraca,Alto do Cruzeiro,2014,5,2
Arapiraca,Alto do Cruzeiro,2014,6,1
Arapiraca,Alto do Cruzeiro,2014,9,1
Arapiraca,Alto do Cruzeiro,2015,11,1
Arapiraca,Alto do Cruzeiro,2016,1,1
Arapiraca,Alto do Cruzeiro,2016,4,1
Arapiraca,Alto do Cruzeiro,2016,11,1
Arapiraca,Alto do Cruzeiro,2017,5,1
Arapiraca,Alto do Cruzeiro,2017,6,1
Arapiraca,Alto do Cruzeiro,2017,9,1
Arapiraca,Alto do Cruzeiro,2017,11,1
Arapiraca,Alto do Cruzeiro,2017,12,1
Arapiraca,Alto do Cruzeiro,2018,1,1
Arapiraca,Alto do Cruzeiro,2018,4,1
Arapiraca,Alto do Cruzeiro,2018,7,1
Arapiraca,Alto do Cruzeiro,2019,3,1
Arapiraca,Alto do Cruzeiro,2021,5,1
Arapiraca,Alto do Cruzeiro,2022,6,1
Arapiraca,Alto do Cruzeiro,2022,7,1
Arapiraca,Alto do Cruzeiro,2022,10,1
Arapiraca,Alto do Cruzeiro,2023,2,1
Arapiraca,Alto do Cruzeiro,2023,9,1
Arapiraca,Alto do Cruzeiro,2024,1,1
Arapiraca,Alto do Cruzeiro,2024,8,1
Arapiraca,Alto do Cruzeiro,2025,2,1
Arapiraca,Alto do Cruzeiro,2026,2,1
Arapiraca,Bairro não Informado,2014,4,1
Arapiraca,Bairro não Informado,2016,11,1
Arapiraca,Baixa Grande,2013,10,1
Arapiraca,Baixa Grande,2014,4,1
Arapiraca,Baixa Grande,2014,9,1
Arapiraca,Baixa Grande,2014,11,1
Arapiraca,Baixa Grande,2015,1,1
Arapiraca,Baixa Grande,2015,4,1
Arapiraca,Baixa Grande,2015,7,1
Arapiraca,Baixa Grande,2017,7,1
Arapiraca,Baixa Grande,2018,10,1
Arapiraca,Baixa Grande,2019,4,1
Arapiraca,Baixa Grande,2021,1,1
Arapiraca,Baixa Grande,2021,10,1
Arapiraca,Baixa Grande,2023,12,1
Arapiraca,Baixão,2012,5,1
Arapiraca,Baixão,2012,7,1
Arapiraca,Baixão,2012,9,1
Arapiraca,Baixão,2013,1,1
Arapiraca,Baixão,2013,3,1
Arapiraca,Baixão,2013,10,1
Arapiraca,Baixão,2014,1,1
Arapiraca,Baixão,2014,3,1
Arapiraca,Baixão,2014,4,1
Arapiraca,Baixão,2014,7,1
Arapiraca,Baixão,2014,9,2
Arapiraca,Baixão,2014,11,1
Arapiraca,Baixão,2015,4,1
Arapiraca,Baixão,2015,11,1
Arapiraca,Baixão,2016,3,1
Arapiraca,Baixão,2016,4,1
Arapiraca,Baixão,2016,12,1
Arapiraca,Baixão,2017,3,1
Arapiraca,Baixão,2018,2,1
Arapiraca,Baixão,2018,3,1
Arapiraca,Baixão,2022,2,1
Arapiraca,Baixão,2022,12,2
Arapiraca,Baixão,2023,6,1
Arapiraca,Baixão,2024,1,1
Arapiraca,Baixão,2024,8,1
Arapiraca,Batingas,2014,9,1
Arapiraca,Batingas,2015,8,1
Arapiraca,Batingas,2016,5,2
Arapiraca,Batingas,2019,6,1
Arapiraca,Batingas,2020,2,1
Arapiraca,Batingas,2020,10,1
Arapiraca,Batingas,2020,11,1
Arapiraca,Batingas,2021,12,1
Arapiraca,Batingas,2023,2,1
Arapiraca,Batingas,2023,4,1
Arapiraca,Batingas,2023,6,1
Arapiraca,Batingas,2025,11,1
Arapiraca,Batingas,2026,2,1
Arapiraca,Boa Vista,2012,1,1
Arapiraca,Boa Vista,2013,3,1
Arapiraca,Boa Vista,2013,8,1
Arapiraca,Boa Vista,2013,12,2
Arapiraca,Boa Vista,2014,11,1
Arapiraca,Boa Vista,2016,3,1
Arapiraca,Boa Vista,2016,5,1
Arapiraca,Boa Vista,2016,8,1
Arapiraca,Boa Vista,2016,9,1
Arapiraca,Boa Vista,2016,10,1
Arapiraca,Boa Vista,2017,5,3
Arapiraca,Boa Vista,2017,6,1
Arapiraca,Boa Vista,2017,7,2
Arapiraca,Boa Vista,2018,12,1
Arapiraca,Boa Vista,2020,8,1
Arapiraca,Boa Vista,2022,7,1
Arapiraca,Boa Vista,2024,3,1
Arapiraca,Bom Sucesso,2012,3,1
Arapiraca,Bom Sucesso,2012,7,2
Arapiraca,Bom Sucesso,2012,9,1
Arapiraca,Bom Sucesso,2012,10,2
Arapiraca,Bom Sucesso,2012,12,1
Arapiraca,Bom Sucesso,2013,4,1
Arapiraca,Bom Sucesso,2013,10,2
Arapiraca,Bom Sucesso,2014,6,1
Arapiraca,Bom Sucesso,2014,7,2
Arapiraca,Bom Sucesso,2014,11,1
Arapiraca,Bom Sucesso,2014,12,1
Arapiraca,Bom Sucesso,2015,2,1
Arapiraca,Bom Sucesso,2015,6,1
Arapiraca,Bom Sucesso,2015,7,1
Arapiraca,Bom Sucesso,2015,10,1
Arapiraca,Bom Sucesso,2015,11,1
Arapiraca,Bom Sucesso,2015,12,1
Arapiraca,Bom Sucesso,2016,2,1
Arapiraca,Bom Sucesso,2016,3,1
Arapiraca,Bom Sucesso,2016,6,2
Arapiraca,Bom Sucesso,2016,7,1
Arapiraca,Bom Sucesso,2016,8,1
Arapiraca,Bom Sucesso,2016,10,1
Arapiraca,Bom Sucesso,2017,1,1
Arapiraca,Bom Sucesso,2017,4,1
Arapiraca,Bom Sucesso,2017,8,3
Arapiraca,Bom Sucesso,2017,11,1
Arapiraca,Bom Sucesso,2018,3,2
Arapiraca,Bom Sucesso,2019,4,2
Arapiraca,Bom Sucesso,2019,6,1
Arapiraca,Bom Sucesso,2020,5,1
Arapiraca,Bom Sucesso,2021,7,1
Arapiraca,Bom Sucesso,2021,9,1
Arapiraca,Bom Sucesso,2021,12,1
Arapiraca,Bom Sucesso,2022,10,1
Arapiraca,Bom Sucesso,2023,6,1
Arapiraca,Bom Sucesso,2023,10,1
Arapiraca,Bom Sucesso,2024,3,2
Arapiraca,Bom Sucesso,2024,6,2
Arapiraca,Bom Sucesso,2025,12,1
Arapiraca,Bom Sucesso,2026,1,1
Arapiraca,Bom Sucesso,2026,4,1
Arapiraca,Brasiliana,2012,1,1
Arapiraca,Brasiliana,2013,3,1
Arapiraca,Brasiliana,2013,5,1
Arapiraca,Brasiliana,2013,6,1
Arapiraca,Brasiliana,2014,2,1
Arapiraca,Brasiliana,2017,6,2
Arapiraca,Brasiliana,2017,8,1
Arapiraca,Brasiliana,2019,12,1
Arapiraca,Brasiliana,2020,5,1
Arapiraca,Brasiliana,2023,2,1
Arapiraca,Brasiliana,2023,9,1
Arapiraca,Brasiliana,2023,10,1
Arapiraca,Brasiliana,2023,11,1
Arapiraca,Brasiliana,2024,5,1
Arapiraca,Brasília,2012,3,1
Arapiraca,Brasília,2012,4,1
Arapiraca,Brasília,2012,6,1
Arapiraca,Brasília,2012,10,1
Arapiraca,Brasília,2013,1,1
Arapiraca,Brasília,2013,3,2
Arapiraca,Brasília,2013,9,1
Arapiraca,Brasília,2013,11,2
Arapiraca,Brasília,2014,1,2
Arapiraca,Brasília,2014,2,1
Arapiraca,Brasília,2014,3,3
Arapiraca,Brasília,2014,9,1
Arapiraca,Brasília,2015,1,1
Arapiraca,Brasília,2015,10,1
Arapiraca,Brasília,2015,12,1
Arapiraca,Brasília,2016,3,1
