cidade_norm,ano,mes,count,ano_mes
Anadia,2012,2,2,2012-02-01
Anadia,2012,3,1,2012-03-01
Anadia,2012,5,1,2012-05-01
Anadia,2012,6,1,2012-06-01
Anadia,2012,7,2,2012-07-01
Anadia,2012,9,1,2012-09-01
Anadia,2012,12,2,2012-12-01
Anadia,2013,1,1,2013-01-01
Anadia,2013,2,1,2013-02-01
Anadia,2013,3,1,2013-03-01
Anadia,2013,5,1,2013-05-01
Anadia,2013,7,1,2013-07-01
Anadia,2013,10,1,2013-10-01
Anadia,2013,11,1,2013-11-01
Anadia,2013,12,3,2013-12-01
Anadia,2014,1,2,2014-01-01
Anadia,2014,2,1,2014-02-01
Anadia,2014,3,2,2014-03-01
Anadia,2014,5,1,2014-05-01
Anadia,2014,6,2,2014-06-01
Anadia,2014,8,1,2014-08-01
Anadia,2014,10,1,2014-10-01
Anadia,2014,11,1,2014-11-01
Anadia,2014,12,3,2014-12-01
Anadia,2015,3,1,2015-03-01
Anadia,2015,5,1,2015-05-01
Anadia,2015,6,2,2015-06-01
Anadia,2015,7,1,2015-07-01
Anadia,2015,12,1,2015-12-01
Anadia,2016,3,1,2016-03-01
Anadia,2016,4,1,2016-04-01
Anadia,2016,8,3,2016-08-01
Anadia,2016,9,1,2016-09-01
Anadia,2017,2,2,2017-02-01
Anadia,2017,3,1,2017-03-01
Anadia,2017,8,1,2017-08-01
Anadia,2017,9,2,2017-09-01
Anadia,2017,10,1,2017-10-01
Anadia,2017,12,2,2017-12-01
Anadia,2018,3,1,2018-03-01
Anadia,2018,4,1,2018-04-01
Anadia,2018,8,1,2018-08-01
Anadia,2018,9,1,2018-09-01
Anadia,2018,10,3,2018-10-01
Anadia,2019,1,1,2019-01-01
Anadia,2019,4,1,2019-04-01
Anadia,2019,10,1,2019-10-01
Anadia,2020,3,2,2020-03-01
Anadia,2020,4,1,2020-04-01
Anadia,2020,12,1,2020-12-01
Anadia,2021,1,1,2021-01-01
Anadia,2021,2,1,2021-02-01
Anadia,2021,5,2,2021-05-01
Anadia,2021,9,1,2021-09-01
Anadia,2021,12,1,2021-12-01
Anadia,2022,1,2,2022-01-01
Anadia,2023,4,1,2023-04-01
Anadia,2023,10,1,2023-10-01
Anadia,2023,11,1,2023-11-01
Anadia,2024,1,1,2024-01-01
Anadia,2024,3,2,2024-03-01
Anadia,2024,5,1,2024-05-01
Anadia,2024,7,1,2024-07-01
Anadia,2024,11,2,2024-11-01
Anadia,2025,4,1,2025-04-01
Anadia,2025,5,2,2025-05-01
Anadia,2025,6,1,2025-06-01
Anadia,2025,7,1,2025-07-01
Anadia,2025,12,1,2025-12-01
Anadia,2026,1,2,2026-01-01
Anadia,2026,3,1,2026-03-01
Arapiraca,2012,1,12,2012-01-01
Arapiraca,2012,2,8,2012-02-01
Arapiraca,2012,3,15,2012-03-01
Arapiraca,2012,4,6,2012-04-01
Arapiraca,2012,5,10,2012-05-01
Arapiraca,2012,6,9,2012-06-01
Arapiraca,2012,7,12,2012-07-01
Arapiraca,2012,8,12,2012-08-01
Arapiraca,2012,9,12,2012-09-01
Arapiraca,2012,10,19,2012-10-01
Arapiraca,2012,11,14,2012-11-01
Arapiraca,2012,12,10,2012-12-01
Arapiraca,2013,1,21,2013-01-01
Arapiraca,2013,2,8,2013-02-01
Arapiraca,2013,3,15,2013-03-01
Arapiraca,2013,4,20,2013-04-01
Arapiraca,2013,5,8,2013-05-01
Arapiraca,2013,6,7,2013-06-01
Arapiraca,2013,7,5,2013-07-01
Arapiraca,2013,8,8,2013-08-01
Arapiraca,2013,9,9,2013-09-01
Arapiraca,2013,10,12,2013-10-01
Arapiraca,2013,11,14,2013-11-01
Arapiraca,2013,12,21,2013-12-01
Arapiraca,2014,1,17,2014-01-01
Arapiraca,2014,2,11,2014-02-01
Arapiraca,2014,3,12,2014-03-01
Arapiraca,2014,4,11,2014-04-01
Arapiraca,2014,5,10,2014-05-01
Arapiraca,2014,6,12,2014-06-01
Arapiraca,2014,7,14,2014-07-01
Arapiraca,2014,8,14,2014-08-01
Arapiraca,2014,9,17,2014-09-01
Arapiraca,2014,10,7,2014-10-01
Arapiraca,2014,11,12,2014-11-01
Arapiraca,2014,12,9,2014-12-01
Arapiraca,2015,1,12,2015-01-01
Arapiraca,2015,2,8,2015-02-01
Arapiraca,2015,3,14,2015-03-01
Arapiraca,2015,4,10,2015-04-01
Arapiraca,2015,5,6,2015-05-01
Arapiraca,2015,6,6,2015-06-01
Arapiraca,2015,7,15,2015-07-01
Arapiraca,2015,8,10,2015-08-01
Arapiraca,2015,9,7,2015-09-01
Arapiraca,2015,10,7,2015-10-01
Arapiraca,2015,11,14,2015-11-01
Arapiraca,2015,12,11,2015-12-01
Arapiraca,2016,1,13,2016-01-01
Arapiraca,2016,2,11,2016-02-01
Arapiraca,2016,3,16,2016-03-01
Arapiraca,2016,4,7,2016-04-01
Arapiraca,2016,5,17,2016-05-01
Arapiraca,2016,6,12,2016-06-01
Arapiraca,2016,7,13,2016-07-01
Arapiraca,2016,8,6,2016-08-01
Arapiraca,2016,9,7,2016-09-01
Arapiraca,2016,10,11,2016-10-01
Arapiraca,2016,11,11,2016-11-01
Arapiraca,2016,12,15,2016-12-01
Arapiraca,2017,1,9,2017-01-01
Arapiraca,2017,2,11,2017-02-01
Arapiraca,2017,3,13,2017-03-01
Arapiraca,2017,4,7,2017-04-01
Arapiraca,2017,5,7,2017-05-01
Arapiraca,2017,6,7,2017-06-01
Arapiraca,2017,7,5,2017-07-01
Arapiraca,2017,8,13,2017-08-01
Arapiraca,2017,9,6,2017-09-01
Arapiraca,2017,10,10,2017-10-01
Arapiraca,2017,11,13,2017-11-01
Arapiraca,2017,12,8,2017-12-01
Arapiraca,2018,1,11,2018-01-01
Arapiraca,2018,2,5,2018-02-01
Arapiraca,2018,3,15,2018-03-01
Arapiraca,2018,4,19,2018-04-01
Arapiraca,2018,5,7,2018-05-01
Arapiraca,2018,6,10,2018-06-01
Arapiraca,2018,7,5,2018-07-01
Arapiraca,2018,8,5,2018-08-01
Arapiraca,2018,9,7,2018-09-01
Arapiraca,2018,10,3,2018-10-01
Arapiraca,2018,11,2,2018-11-01
Arapiraca,2018,12,8,2018-12-01
Arapiraca,2019,1,13,2019-01-01
Arapiraca,2019,2,8,2019-02-01
Arapiraca,2019,3,4,2019-03-01
Arapiraca,2019,4,11,2019-04-01
Arapiraca,2019,5,5,2019-05-01
Arapiraca,2019,6,6,2019-06-01
Arapiraca,2019,7,5,2019-07-01
Arapiraca,2019,8,4,2019-08-01
Arapiraca,2019,9,3,2019-09-01
Arapiraca,2019,10,11,2019-10-01
Arapiraca,2019,11,7,2019-11-01
Arapiraca,2019,12,7,2019-12-01
Arapiraca,2020,1,2,2020-01-01
Arapiraca,2020,2,7,2020-02-01
Arapiraca,2020,3,7,2020-03-01
Arapiraca,2020,4,6,2020-04-01
Arapiraca,2020,5,9,2020-05-01
Arapiraca,2020,6,4,2020-06-01
Arapiraca,2020,7,2,2020-07-01
Arapiraca,2020,8,6,2020-08-01
Arapiraca,2020,9,5,2020-09-01
Arapiraca,2020,10,6,2020-10-01
Arapiraca,2020,11,9,2020-11-01
Arapiraca,2020,12,17,2020-12-01
Arapiraca,2021,1,10,2021-01-01
Arapiraca,2021,2,7,2021-02-01
Arapiraca,2021,3,6,2021-03-01
Arapiraca,2021,4,10,2021-04-01
Arapiraca,2021,5,5,2021-05-01
Arapiraca,2021,6,5,2021-06-01
Arapiraca,2021,7,4,2021-07-01
Arapiraca,2021,8,9,2021-08-01
Arapiraca,2021,9,12,2021-09-01
Arapiraca,2021,10,7,2021-10-01
Arapiraca,2021,11,6,2021-11-01
Arapiraca,2021,12,7,2021-12-01
Arapiraca,2022,1,4,2022-01-01
Arapiraca,2022,2,4,2022-02-01
Arapiraca,2022,3,6,2022-03-01
Arapiraca,2022,4,5,2022-04-01
Arapiraca,2022,5,3,2022-05-01
Arapiraca,2022,6,10,2022-06-01
Arapiraca,2022,7,8,2022-07-01
Arapiraca,2022,8,4,2022-08-01
Arapiraca,2022,9,3,2022-09-01
Arapiraca,2022,10,9,2022-10-01
Arapiraca,2022,11,5,2022-11-01
Arapiraca,2022,12,9,2022-12-01
Arapiraca,2023,1,5,2023-01-01
Arapiraca,2023,2,9,2023-02-01
Arapiraca,2023,3,5,2023-03-01
Arapiraca,2023,4,5,2023-04-01
Arapiraca,2023,5,7,2023-05-01
Arapiraca,2023,6,10,2023-06-01
Arapiraca,2023,7,7,2023-07-01
Arapiraca,2023,8,3,2023-08-01
Arapiraca,2023,9,6,2023-09-01
Arapiraca,2023,10,13,2023-10-01
Arapiraca,2023,11,13,2023-11-01
Arapiraca,2023,12,9,2023-12-01
Arapiraca,2024,1,9,2024-01-01
Arapiraca,2024,2,5,2024-02-01
Arapiraca,2024,3,6,2024-03-01
Arapiraca,2024,4,18,2024-04-01
Arapiraca,2024,5,4,2024-05-01
Arapiraca,2024,6,6,2024-06-01
Arapiraca,2024,7,2,2024-07-01
Arapiraca,2024,8,6,2024-08-01
Arapiraca,2024,9,4,2024-09-01
Arapiraca,2024,10,5,2024-10-01
Arapiraca,2024,11,10,2024-11-01
Arapiraca,2024,12,4,2024-12-01
Arapiraca,2025,1,4,2025-01-01
Arapiraca,2025,2,7,2025-02-01
Arapiraca,2025,3,5,2025-03-01
Arapiraca,2025,4,6,2025-04-01
Arapiraca,2025,5,3,2025-05-01
Arapiraca,2025,6,8,2025-06-01
Arapiraca,2025,7,5,2025-07-01
Arapiraca,2025,8,9,2025-08-01
Arapiraca,2025,9,4,2025-09-01
Arapiraca,2025,10,2,2025-10-01
Arapiraca,2025,11,5,2025-11-01
Arapiraca,2025,12,5,2025-12-01
Arapiraca,2026,1,6,2026-01-01
Arapiraca,2026,2,7,2026-02-01
Arapiraca,2026,3,2,2026-03-01
Arapiraca,2026,4,5,2026-04-01
Atalaia,2012,1,5,2012-01-01
Atalaia,2012,2,5,2012-02-01
Atalaia,2012,3,4,2012-03-01
Atalaia,2012,4,2,2012-04-01
Atalaia,2012,5,2,2012-05-01
Atalaia,2012,6,5,2012-06-01
Atalaia,2012,7,1,2012-07-01
Atalaia,2012,8,1,2012-08-01
Atalaia,2012,9,2,2012-09-01
Atalaia,2012,10,2,2012-10-01
Atalaia,2012,11,1,2012-11-01
Atalaia,2012,12,4,2012-12-01
Atalaia,2013,1,2,2013-01-01
Atalaia,2013,2,3,2013-02-01
Atalaia,2013,3,3,2013-03-01
Atalaia,2013,4,3,2013-04-01
Atalaia,2013,5,2,2013-05-01
Atalaia,2013,6,4,2013-06-01
Atalaia,2013,7,1,2013-07-01
Atalaia,2013,8,3,2013-08-01
Atalaia,2013,9,3,2013-09-01
Atalaia,2013,10,1,2013-10-01
Atalaia,2013,11,3,2013-11-01
Atalaia,2013,12,9,2013-12-01
Atalaia,2014,1,4,2014-01-01
Atalaia,2014,2,3,2014-02-01
Atalaia,2014,3,1,2014-03-01
Atalaia,2014,4,7,2014-04-01
Atalaia,2014,5,3,2014-05-01
Atalaia,2014,6,1,2014-06-01
Atalaia,2014,7,3,2014-07-01
Atalaia,2014,8,1,2014-08-01
Atalaia,2014,9,4,2014-09-01
Atalaia,2014,10,3,2014-10-01
Atalaia,2014,12,3,2014-12-01
Atalaia,2015,1,5,2015-01-01
Atalaia,2015,2,4,2015-02-01
Atalaia,2015,3,1,2015-03-01
Atalaia,2015,4,2,2015-04-01
Atalaia,2015,5,2,2015-05-01
Atalaia,2015,6,1,2015-06-01
Atalaia,2015,7,5,2015-07-01
Atalaia,2015,8,1,2015-08-01
Atalaia,2015,9,1,2015-09-01
Atalaia,2015,12,2,2015-12-01
Atalaia,2016,1,1,2016-01-01
Atalaia,2016,2,3,2016-02-01
Atalaia,2016,3,2,2016-03-01
Atalaia,2016,4,2,2016-04-01
Atalaia,2016,5,2,2016-05-01
Atalaia,2016,6,2,2016-06-01
Atalaia,2016,7,4,2016-07-01
Atalaia,2016,9,3,2016-09-01
Atalaia,2016,10,3,2016-10-01
Atalaia,2016,12,2,2016-12-01
Atalaia,2017,1,9,2017-01-01
Atalaia,2017,3,3,2017-03-01
Atalaia,2017,4,3,2017-04-01
Atalaia,2017,5,4,2017-05-01
Atalaia,2017,8,2,2017-08-01
Atalaia,2017,9,5,2017-09-01
Atalaia,2017,10,1,2017-10-01
Atalaia,2017,11,1,2017-11-01
Atalaia,2017,12,1,2017-12-01
Atalaia,2018,1,2,2018-01-01
Atalaia,2018,2,1,2018-02-01
Atalaia,2018,4,1,2018-04-01
Atalaia,2018,5,2,2018-05-01
Atalaia,2018,6,2,2018-06-01
Atalaia,2018,8,1,2018-08-01
Atalaia,2018,9,3,2018-09-01
Atalaia,2018,10,1,2018-10-01
Atalaia,2018,11,4,2018-11-01
Atalaia,2018,12,2,2018-12-01
Atalaia,2019,1,2,2019-01-01
Atalaia,2019,2,3,2019-02-01
Atalaia,2019,3,2,2019-03-01
Atalaia,2019,4,3,2019-04-01
Atalaia,2019,6,3,2019-06-01
Atalaia,2019,8,2,2019-08-01
Atalaia,2019,9,3,2019-09-01
Atalaia,2019,10,2,2019-10-01
Atalaia,2019,11,2,2019-11-01
Atalaia,2019,12,2,2019-12-01
Atalaia,2020,1,3,2020-01-01
Atalaia,2020,2,2,2020-02-01
Atalaia,2020,3,2,2020-03-01
Atalaia,2020,4,3,2020-04-01
Atalaia,2020,5,1,2020-05-01
Atalaia,2020,6,1,2020-06-01
Atalaia,2020,7,4,2020-07-01
Atalaia,2020,8,2,2020-08-01
Atalaia,2020,9,1,2020-09-01
Atalaia,2020,10,2,2020-10-01
Atalaia,2020,11,2,2020-11-01
Atalaia,2021,4,1,2021-04-01
Atalaia,2021,6,2,2021-06-01
Atalaia,2021,7,4,2021-07-01
Atalaia,2021,9,1,2021-09-01
Atalaia,2021,10,1,2021-10-01
Atalaia,2021,11,1,2021-11-01
Atalaia,2022,1,1,2022-01-01
