cidade_norm,ano,semestre,count
Anadia,2012,S1,5
Anadia,2012,S2,5
Anadia,2013,S1,4
Anadia,2013,S2,6
Anadia,2014,S1,8
Anadia,2014,S2,6
Anadia,2015,S1,4
Anadia,2015,S2,2
Anadia,2016,S1,2
Anadia,2016,S2,4
Anadia,2017,S1,3
Anadia,2017,S2,6
Anadia,2018,S1,2
Anadia,2018,S2,5
Anadia,2019,S1,2
Anadia,2019,S2,1
Anadia,2020,S1,3
Anadia,2020,S2,1
Anadia,2021,S1,4
Anadia,2021,S2,2
Anadia,2022,S1,2
Anadia,2023,S1,1
Anadia,2023,S2,2
Anadia,2024,S1,4
Anadia,2024,S2,3
Anadia,2025,S1,4
Anadia,2025,S2,2
Anadia,2026,S1,3
Arapiraca,2012,S1,60
Arapiraca,2012,S2,79
Arapiraca,2013,S1,79
Arapiraca,2013,S2,69
Arapiraca,2014,S1,73
Arapiraca,2014,S2,73
Arapiraca,2015,S1,56
Arapiraca,2015,S2,64
Arapiraca,2016,S1,76
Arapiraca,2016,S2,63
Arapiraca,2017,S1,54
Arapiraca,2017,S2,55
Arapiraca,2018,S1,67
Arapiraca,2018,S2,30
Arapiraca,2019,S1,47
Arapiraca,2019,S2,37
Arapiraca,2020,S1,35
Arapiraca,2020,S2,45
Arapiraca,2021,S1,43
Arapiraca,2021,S2,45
Arapiraca,2022,S1,32
Arapiraca,2022,S2,38
Arapiraca,2023,S1,41
Arapiraca,2023,S2,51
Arapiraca,2024,S1,48
Arapiraca,2024,S2,31
Arapiraca,2025,S1,33
Arapiraca,2025,S2,30
Arapiraca,2026,S1,20
Atalaia,2012,S1,23
Atalaia,2012,S2,11
Atalaia,2013,S1,17
Atalaia,2013,S2,20
Atalaia,2014,S1,19
Atalaia,2014,S2,14
Atalaia,2015,S1,15
Atalaia,2015,S2,9
Atalaia,2016,S1,12
Atalaia,2016,S2,12
Atalaia,2017,S1,19
Atalaia,2017,S2,10
Atalaia,2018,S1,8
Atalaia,2018,S2,11
Atalaia,2019,S1,13
Atalaia,2019,S2,11
Atalaia,2020,S1,12
Atalaia,2020,S2,11
Atalaia,2021,S1,3
Atalaia,2021,S2,7
Atalaia,2022,S1,3
Atalaia,2022,S2,5
Atalaia,2023,S1,7
Atalaia,2023,S2,4
Atalaia,2024,S1,8
Atalaia,2024,S2,3
Atalaia,2025,S1,12
Atalaia,2025,S2,9
Atalaia,2026,S1,1
Barra de Santo Antônio,2012,S1,10
Barra de Santo Antônio,2012,S2,1
Barra de Santo Antônio,2013,S1,3
Barra de Santo Antônio,2013,S2,8
Barra de Santo Antônio,2014,S1,6
Barra de Santo Antônio,2014,S2,1
Barra de Santo Antônio,2015,S1,9
Barra de Santo Antônio,2015,S2,3
Barra de Santo Antônio,2016,S1,4
Barra de Santo Antônio,2016,S2,9
Barra de Santo Antônio,2017,S1,6
Barra de Santo Antônio,2017,S2,8
Barra de Santo Antônio,2018,S1,2
Barra de Santo Antônio,2018,S2,4
Barra de Santo Antônio,2019,S1,4
Barra de Santo Antônio,2020,S1,7
Barra de Santo Antônio,2020,S2,7
Barra de Santo Antônio,2021,S1,5
Barra de Santo Antônio,2021,S2,4
Barra de Santo Antônio,2022,S1,7
Barra de Santo Antônio,2022,S2,5
Barra de Santo Antônio,2023,S1,5
Barra de Santo Antônio,2023,S2,6
Barra de Santo Antônio,2024,S1,6
Barra de Santo Antônio,2024,S2,6
Barra de Santo Antônio,2025,S1,1
Barra de Santo Antônio,2025,S2,1
Barra de São Miguel,2012,S1,3
Barra de São Miguel,2012,S2,2
Barra de São Miguel,2013,S1,4
Barra de São Miguel,2013,S2,4
Barra de São Miguel,2014,S1,5
Barra de São Miguel,2014,S2,2
Barra de São Miguel,2015,S1,2
Barra de São Miguel,2015,S2,2
Barra de São Miguel,2016,S1,8
Barra de São Miguel,2016,S2,6
Barra de São Miguel,2017,S1,3
Barra de São Miguel,2017,S2,5
Barra de São Miguel,2018,S1,8
Barra de São Miguel,2018,S2,4
Barra de São Miguel,2019,S1,3
Barra de São Miguel,2019,S2,2
Barra de São Miguel,2020,S1,5
Barra de São Miguel,2020,S2,2
Barra de São Miguel,2021,S1,3
Barra de São Miguel,2021,S2,2
Barra de São Miguel,2022,S1,4
Barra de São Miguel,2022,S2,4
Barra de São Miguel,2023,S1,4
Barra de São Miguel,2023,S2,2
Barra de São Miguel,2024,S1,6
Barra de São Miguel,2024,S2,1
Barra de São Miguel,2025,S1,5
Barra de São Miguel,2026,S1,4
Batalha,2012,S2,3
Batalha,2013,S1,3
Batalha,2013,S2,4
Batalha,2014,S1,3
Batalha,2014,S2,5
Batalha,2015,S1,3
Batalha,2015,S2,1
Batalha,2016,S1,3
Batalha,2016,S2,6
Batalha,2017,S2,7
Batalha,2018,S1,1
Batalha,2018,S2,3
Batalha,2019,S1,2
Batalha,2019,S2,4
Batalha,2020,S1,6
Batalha,2020,S2,3
Batalha,2021,S1,5
Batalha,2023,S1,3
Batalha,2023,S2,3
Batalha,2024,S1,4
Batalha,2024,S2,6
Batalha,2025,S1,2
Batalha,2025,S2,1
Belo Monte,2013,S2,3
Belo Monte,2014,S1,1
Belo Monte,2020,S1,1
Belo Monte,2022,S2,1
Belo Monte,2024,S2,1
Belém,2012,S2,1
Belém,2013,S2,2
Belém,2014,S1,1
Belém,2016,S1,1
Belém,2017,S1,2
Belém,2017,S2,2
Belém,2018,S1,2
Belém,2020,S2,1
Belém,2021,S1,1
Belém,2021,S2,2
Belém,2022,S2,1
Belém,2023,S2,2
Belém,2024,S1,1
Belém,2024,S2,2
Belém,2025,S2,2
Boca da Mata,2012,S1,6
Boca da Mata,2012,S2,7
Boca da Mata,2013,S1,9
Boca da Mata,2013,S2,9
Boca da Mata,2014,S1,5
Boca da Mata,2014,S2,7
Boca da Mata,2015,S1,7
Boca da Mata,2015,S2,9
Boca da Mata,2016,S1,11
Boca da Mata,2016,S2,10
Boca da Mata,2017,S1,2
Boca da Mata,2017,S2,7
Boca da Mata,2018,S1,6
Boca da Mata,2018,S2,5
