cidade_norm,trimestre,count
Anadia,2012Q1,3
Anadia,2012Q2,2
Anadia,2012Q3,3
Anadia,2012Q4,2
Anadia,2013Q1,3
Anadia,2013Q2,1
Anadia,2013Q3,1
Anadia,2013Q4,5
Anadia,2014Q1,5
Anadia,2014Q2,3
Anadia,2014Q3,1
Anadia,2014Q4,5
Anadia,2015Q1,1
Anadia,2015Q2,3
Anadia,2015Q3,1
Anadia,2015Q4,1
Anadia,2016Q1,1
Anadia,2016Q2,1
Anadia,2016Q3,4
Anadia,2017Q1,3
Anadia,2017Q3,3
Anadia,2017Q4,3
Anadia,2018Q1,1
Anadia,2018Q2,1
Anadia,2018Q3,2
Anadia,2018Q4,3
Anadia,2019Q1,1
Anadia,2019Q2,1
Anadia,2019Q4,1
Anadia,2020Q1,2
Anadia,2020Q2,1
Anadia,2020Q4,1
Anadia,2021Q1,2
Anadia,2021Q2,2
Anadia,2021Q3,1
Anadia,2021Q4,1
Anadia,2022Q1,2
Anadia,2023Q2,1
Anadia,2023Q4,2
Anadia,2024Q1,3
Anadia,2024Q2,1
Anadia,2024Q3,1
Anadia,2024Q4,2
Anadia,2025Q2,4
Anadia,2025Q3,1
Anadia,2025Q4,1
Anadia,2026Q1,3
Arapiraca,2012Q1,35
Arapiraca,2012Q2,25
Arapiraca,2012Q3,36
Arapiraca,2012Q4,43
Arapiraca,2013Q1,44
Arapiraca,2013Q2,35
Arapiraca,2013Q3,22
Arapiraca,2013Q4,47
Arapiraca,2014Q1,40
Arapiraca,2014Q2,33
Arapiraca,2014Q3,45
Arapiraca,2014Q4,28
Arapiraca,2015Q1,34
Arapiraca,2015Q2,22
Arapiraca,2015Q3,32
Arapiraca,2015Q4,32
Arapiraca,2016Q1,40
Arapiraca,2016Q2,36
Arapiraca,2016Q3,26
Arapiraca,2016Q4,37
Arapiraca,2017Q1,33
Arapiraca,2017Q2,21
Arapiraca,2017Q3,24
Arapiraca,2017Q4,31
Arapiraca,2018Q1,31
Arapiraca,2018Q2,36
Arapiraca,2018Q3,17
Arapiraca,2018Q4,13
Arapiraca,2019Q1,25
Arapiraca,2019Q2,22
Arapiraca,2019Q3,12
Arapiraca,2019Q4,25
Arapiraca,2020Q1,16
Arapiraca,2020Q2,19
Arapiraca,2020Q3,13
Arapiraca,2020Q4,32
Arapiraca,2021Q1,23
Arapiraca,2021Q2,20
Arapiraca,2021Q3,25
Arapiraca,2021Q4,20
Arapiraca,2022Q1,14
Arapiraca,2022Q2,18
Arapiraca,2022Q3,15
Arapiraca,2022Q4,23
Arapiraca,2023Q1,19
Arapiraca,2023Q2,22
Arapiraca,2023Q3,16
Arapiraca,2023Q4,35
Arapiraca,2024Q1,20
Arapiraca,2024Q2,28
Arapiraca,2024Q3,12
Arapiraca,2024Q4,19
Arapiraca,2025Q1,16
Arapiraca,2025Q2,17
Arapiraca,2025Q3,18
Arapiraca,2025Q4,12
Arapiraca,2026Q1,15
Arapiraca,2026Q2,5
Atalaia,2012Q1,14
Atalaia,2012Q2,9
Atalaia,2012Q3,4
Atalaia,2012Q4,7
Atalaia,2013Q1,8
Atalaia,2013Q2,9
