iter	Passed	Remaining
0	81	40543
1	95	23829
2	107	17750
3	132	16374
4	153	15232
5	191	15729
6	227	16029
7	252	15553
8	270	14763
9	325	15931
10	380	16909
11	429	17467
12	456	17099
13	487	16933
14	506	16360
15	524	15853
16	543	15442
17	588	15756
18	611	15489
19	640	15373
20	661	15086
21	700	15216
22	742	15406
23	763	15143
24	800	15200
25	815	14861
26	866	15182
27	907	15300
28	946	15373
29	977	15308
30	1011	15307
31	1040	15212
32	1073	15198
33	1110	15221
34	1145	15216
35	1190	15340
36	1218	15251
37	1257	15286
38	1288	15229
39	1320	15180
40	1357	15195
41	1382	15075
42	1452	15437
43	1480	15345
44	1507	15245
45	1540	15208
46	1563	15074
47	1588	14954
48	1655	15234
49	1676	15090
50	1810	15940
51	1836	15824
52	1874	15812
53	1904	15725
54	1940	15702
55	1969	15618
56	2013	15648
57	2048	15608
58	2088	15611
59	2110	15474
60	2144	15434
61	2189	15466
62	2236	15516
63	2288	15590
64	2327	15576
65	2371	15592
66	2411	15581
67	2448	15552
68	2467	15412
69	2502	15373
70	2522	15242
71	2557	15202
72	2583	15110
73	2603	14989
74	2623	14867
75	2633	14693
76	2643	14520
77	2661	14397
78	2698	14379
79	2712	14239
80	2724	14093
81	2739	13963
82	2750	13818
83	2762	13681
84	2772	13538
85	2784	13406
86	2797	13280
87	2811	13164
88	2827	13055
89	2850	12983
90	2862	12863
91	2871	12734
92	2885	12630
93	2900	12527
94	2908	12400
95	2920	12292
96	2930	12174
97	2942	12068
98	2952	11957
99	2965	11861
100	2985	11793
101	2996	11693
102	3022	11651
103	3037	11564
104	3046	11462
105	3055	11356
106	3068	11270
107	3078	11174
108	3093	11096
109	3116	11051
110	3134	10986
111	3167	10971
112	3179	10889
113	3194	10816
114	3209	10744
115	3222	10668
116	3235	10590
117	3248	10515
118	3262	10446
119	3273	10364
120	3284	10289
121	3301	10229
122	3312	10152
123	3319	10066
124	3326	9980
125	3335	9900
126	3342	9816
127	3349	9734
128	3360	9664
129	3368	9588
130	3379	9520
131	3390	9453
132	3404	9393
133	3414	9324
134	3422	9253
135	3434	9191
136	3441	9117
137	3448	9046
138	3456	8975
139	3465	8911
140	3474	8845
141	3485	8786
142	3493	8721
143	3501	8656
144	3512	8599
145	3519	8533
146	3527	8471
147	3539	8418
148	3557	8381
149	3568	8326
150	3575	8264
151	3582	8203
152	3591	8144
153	3603	8095
154	3614	8045
155	3622	7988
156	3633	7938
157	3642	7884
158	3649	7827
159	3657	7772
160	3666	7720
161	3673	7665
162	3685	7618
163	3692	7564
164	3700	7513
165	3707	7459
166	3715	7409
167	3727	7366
168	3740	7325
169	3752	7283
170	3764	7243
171	3774	7198
172	3786	7156
173	3795	7110
